Model,MAE,RMSE,R2,CV_R2_mean,CV_R2_std,Train_sec
Ridge Regression,0.12230595632675648,0.1549329329131367,0.9999991341323872,0.9999984591395243,1.279171924965616e-07,0.02
Gradient Boosting,0.11144099989117694,1.278069808544452,0.999941078585728,0.9999397305598648,6.292437285044181e-05,13.1
Extra Trees,0.3395381721960891,1.4228648451704002,0.9999269716800318,0.9999082678568068,6.861152771627575e-05,0.76
Random Forest,0.18553824022273546,1.811781734291022,0.9998815934397488,0.9998901382327325,0.00011249713794853056,1.62
LightGBM,3.2108136602357726,6.836133863659055,0.9983142812098176,0.9988768606366092,0.00018394606013016746,1.08
XGBoost,4.902690734863281,7.575743479308766,0.9979297893788824,0.9980274452208902,0.00021829228866322318,2.3
