Model,Accuracy,Precision,Recall,F1,CV_F1_mean,CV_F1_std,Train_sec
Random Forest,1.0,1.0,1.0,1.0,0.9977429833568043,0.00252848719643598,0.82
Gradient Boosting,1.0,1.0,1.0,1.0,0.99937270879527,0.0007918087720618786,7.28
XGBoost,1.0,1.0,1.0,1.0,0.9991257575757576,0.0008457830359999543,1.03
LightGBM,1.0,1.0,1.0,1.0,0.9991257575757576,0.0008457830359999543,1.24
Extra Trees,0.973,0.9737246540761924,0.973,0.9724487888179723,0.9564942704142838,0.006715592789933317,0.62
Logistic Regression,0.951,0.9594433905450166,0.951,0.9524986823883957,0.9491472868198354,0.011271052409395693,0.12
