Model,Accuracy,Precision,Recall,F1,CV_F1_mean,CV_F1_std,Train_sec
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.0,1.97
LightGBM,0.999,0.9722222222222222,1.0,0.9859154929577465,0.9984995291509444,0.0014620140013791288,0.71
Random Forest,0.999,1.0,0.9714285714285714,0.9855072463768116,0.9987345685423197,0.0008047180062317804,1.0
XGBoost,0.995,0.9166666666666666,0.9428571428571428,0.9295774647887324,0.9985082165857546,0.0009266553667449433,0.35
Logistic Regression,0.99,0.7777777777777778,1.0,0.875,0.9851114647159951,0.0016985744828816682,0.03
Extra Trees,0.989,1.0,0.6857142857142857,0.8135593220338984,0.9829345846915063,0.00746315185096732,0.67
