Model,Accuracy,Precision,Recall,F1,CV_F1_mean,CV_F1_std,Train_sec
Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,0.87
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.0,1.94
LightGBM,1.0,1.0,1.0,1.0,1.0,0.0,0.58
XGBoost,0.997,0.9938650306748467,0.9878048780487805,0.9908256880733946,0.9972540916768458,0.0014484766652620427,0.39
Logistic Regression,0.989,0.9421965317919075,0.9939024390243902,0.9673590504451038,0.9764104052220011,0.008470680688812656,0.04
Extra Trees,0.983,0.9741935483870968,0.9207317073170732,0.9467084639498433,0.9767912553508239,0.00393500754590181,0.8
